Day	SD4neg	SD3neg	SD2neg	SD1neg	SD0	SD1	SD2	SD3	SD4
0	29.381	30.651	31.921	33.192	34.462	35.732	37.002	38.273	39.543
1	29.508	30.771	32.035	33.298	34.562	35.826	37.089	38.353	39.616
2	29.636	30.893	32.149	33.406	34.662	35.919	37.175	38.432	39.688
3	29.764	31.013	32.263	33.513	34.762	36.012	37.262	38.512	39.761
4	29.893	31.135	32.378	33.620	34.863	36.105	37.348	38.590	39.833
5	30.022	31.257	32.492	33.728	34.963	36.198	37.433	38.669	39.904
6	30.150	31.378	32.607	33.835	35.063	36.291	37.520	38.748	39.976
7	30.280	31.501	32.722	33.943	35.163	36.384	37.605	38.826	40.047
8	30.410	31.623	32.837	34.050	35.264	36.477	37.690	38.904	40.117
9	30.539	31.745	32.951	34.158	35.364	36.570	37.776	38.983	40.189
10	30.669	31.868	33.067	34.265	35.464	36.663	37.861	39.060	40.259
11	30.799	31.990	33.181	34.373	35.564	36.756	37.947	39.139	40.330
12	30.930	32.113	33.297	34.481	35.664	36.848	38.032	39.216	40.399
13	31.061	32.237	33.413	34.589	35.765	36.941	38.117	39.293	40.468
14	31.191	32.359	33.528	34.696	35.865	37.033	38.202	39.370	40.539
15	31.293	32.461	33.629	34.797	35.965	37.133	38.301	39.470	40.638
16	31.391	32.559	33.727	34.895	36.063	37.231	38.399	39.567	40.736
17	31.487	32.655	33.823	34.991	36.159	37.327	38.495	39.663	40.831
18	31.582	32.750	33.917	35.085	36.253	37.420	38.588	39.756	40.923
19	31.673	32.841	34.009	35.176	36.344	37.512	38.680	39.847	41.015
20	31.763	32.931	34.098	35.266	36.434	37.602	38.769	39.937	41.105
21	31.851	33.019	34.186	35.354	36.522	37.689	38.857	40.024	41.192
22	31.938	33.106	34.273	35.440	36.608	37.775	38.943	40.110	41.277
23	32.022	33.190	34.357	35.525	36.692	37.860	39.027	40.195	41.362
24	32.105	33.272	34.440	35.607	36.775	37.943	39.110	40.278	41.446
25	32.186	33.354	34.521	35.689	36.857	38.024	39.192	40.359	41.527
26	32.266	33.434	34.601	35.769	36.937	38.104	39.272	40.439	41.607
